1	2	2
1	3	1
1	11	1
1	12	1
1	15	1
1	16	1
1	17	2
1	20	1
1	21	2
1	25	1
1	31	1
1	32	1
1	33	1
1	34	4
1	37	1
1	38	1
1	39	1
2	3	1
2	17	1
2	34	2
3	17	1
3	34	1
3	37	1
3	40	1
4	11	3
4	19	3
4	23	2
4	35	3
4	37	3
4	39	3
5	12	1
5	15	2
5	16	1
5	26	2
5	28	1
5	30	1
5	36	1
6	30	1
6	31	1
8	13	2
8	15	2
8	27	2
8	38	1
9	19	1
10	25	1
10	32	1
10	39	1
10	41	1
11	19	3
11	23	2
11	25	1
11	31	2
11	33	2
11	35	3
11	37	6
11	39	3
12	15	2
12	16	1
12	26	1
12	30	1
12	38	1
13	15	2
13	27	2
13	38	1
15	16	2
15	26	1
15	27	2
15	30	1
15	38	2
16	26	1
16	28	1
16	30	1
16	38	1
17	31	1
17	34	1
19	23	2
19	24	2
19	35	3
19	37	4
19	39	3
19	40	1
20	21	1
20	33	1
20	34	1
20	39	1
21	33	1
21	34	1
21	37	1
21	39	1
22	34	1
23	35	2
23	37	2
23	39	2
25	32	2
25	33	1
25	37	1
25	39	2
25	41	1
26	28	2
26	30	2
26	36	1
27	38	1
28	30	1
28	36	1
30	31	1
31	33	1
32	39	1
32	41	2
33	34	1
33	37	1
33	39	1
34	39	1
35	37	3
35	39	3
37	39	3
37	40	2
39	41	1
